,Case Number,Date,Year,Type,Country,Activity,Injury,Fatal,Time,Species,Shark Sizes
2306,1992.10.01,01-Oct-92,1992,Unprovoked,AUSTRALIA,Surfing,FATAL,Y,14h30,White Shark,BIG SHARK
2308,1992.09.13,13-Sep-92,1992,Unprovoked,USA,Surfing,Minor bruises,N,17h00,White Shark,BIG SHARK
2312,1992.08.29,29-Aug-92,1992,Unprovoked,BAHAMAS,Other activities,Left hand bitten,N,,Blacktip Shark,SMALL SHARK
2313,1992.08.25,25-Aug-92,1992,Unprovoked,AUSTRALIA,Surfing,"Minor cuts, sufboard bitten",N,17h50,White Shark,BIG SHARK
2315,1992.08.18,18-Aug-92,1992,Unprovoked,USA,Surfing,"No injury, board bitten",N,17h00,White Shark,BIG SHARK
2316,1992.08.17,17-Aug-92,1992,Provoked,USA,Other activities,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT",N,,Nurse Shark,MIDDLE SHARK
2319,1992.07.21,21-Jul-92,1992,Unprovoked,USA,Other activities,Lacerations to left foot,N,12h33,SMALL SHARK,SMALL SHARK
2323,1992.06.28.a,28-Jun-92,1992,Unprovoked,REUNION,Surfing,FATAL,Y,14h30,Bull Shark,SMALL SHARK
2325,1992.06.17,17-Jun-92,1992,Boat,JAPAN,Other activities,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat",N,12h30,White Shark,BIG SHARK
2326,1992.06.00,Jun-92,1992,Unprovoked,REUNION,Other activities,Survived,N,,Mako Shark,SMALL SHARK
2328,1992.05.22,22-May-92,1992,Unprovoked,REUNION,Surfing,FATAL,Y,14h00,Tiger Shark,MIDDLE SHARK
2330,1992.04.24,24-Apr-92,1992,Unprovoked,NEW ZEALAND,Other activities,"Right forearm severed, left forearm lacerated & broken",N,15h30,White Shark,BIG SHARK
2331,1992.04.09,09-Apr-92,1992,Unprovoked,SOUTH AFRICA,Surfing,Punctures & lacerations on lower leg,N,13h20,BIG SHARK,BIG SHARK
2332,1992.03.28,28-Mar-92,1992,Unprovoked,USA,Surfing,"Foot bitten, crescent of bitemarks in both sides of board",N,>06h45,Tiger Shark,MIDDLE SHARK
2333,1992.03.10,10-Mar-92,1992,Unprovoked,AUSTRALIA,Surfing,"Right thigh, back & hand lacerated",N,,Bronze Shark,MIDDLE SHARK
2334,1992.03.08.c,08-Mar-92,1992,Unprovoked,JAPAN,Other activities,"FATAL, body not recovered",Y,15h20,White Shark,BIG SHARK
2336,1992.03.08.a,08-Mar-92,1992,Unprovoked,USA,Surfing,"Left shoulder & side bitten, board broken",N,09h45,White Shark,BIG SHARK
2337,1992.02.19,19-Feb-92,1992,Unprovoked,USA,Other activities,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,Late afternoon,Tiger Shark,MIDDLE SHARK
2338,1992.02.14,14-Feb-92,1992,Unprovoked,JAPAN,Other activities,"No injury, steel diving helmet bitten 3 times",N,10h00,BIG SHARK,BIG SHARK
2340,1992.01.29.b,29-Jan-92,1992,Unprovoked,REUNION,Other activities,Survived,N,16h30,Grey Shark,SMALL SHARK
2341,1992.01.29.a,29-Jan-92,1992,Unprovoked,AUSTRALIA,Other activities,Right leg lacerated,N,20h00,Bronze Shark,MIDDLE SHARK
2342,1992.01.23,23-Jan-92,1992,Unprovoked,SOUTH AFRICA,Swimming,Right foot lacerated,N,17h30,Bull Shark,SMALL SHARK
2343,1992.01.08,08-Jan-92,1992,Unprovoked,SOUTH AFRICA,Other activities,Left cheek lacerated,N,17h15,Blacktip Shark,SMALL SHARK
2344,1992.01.06,06-Jan-92,1992,Unprovoked,MAURITIUS,Other activities,Survived,N,,Grey Shark,SMALL SHARK
2348,1991.12.04,04-Dec-91,1991,Unprovoked,USA,Other activities,"No injury, shark became tangled in hose & towed him 100'",N,15h06,White Shark,BIG SHARK
2349,1991.11.26.b,26-Nov-91,1991,Unprovoked,USA,Other activities,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,09h00,Tiger Shark,MIDDLE SHARK
2350,1991.11.26.a,26-Nov-91,1991,Unprovoked,USA,Other activities,Right calf abraded,N,09h00,Tiger Shark,MIDDLE SHARK
2351,1991.11.19,19-Nov-91,1991,Unprovoked,USA,Other activities,"Body not recovered, shorts found indicating shark bite on left side",Y,16h30,Tiger Shark,MIDDLE SHARK
2352,1991.11.14,14-Nov-91,1991,Provoked,USA,Other activities,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,12h54,MIDDLE SHARK,MIDDLE SHARK
2353,1991.11.00,Nov-91,1991,Unprovoked,AUSTRALIA,Other activities,Calf scratched & chunk bitten from board,N,,SMALL SHARK,SMALL SHARK
2354,1991.10.12,12-Oct-91,1991,Unprovoked,USA,Surfing,Right foot & ankle lacerated,N,08h30,BIG SHARK,BIG SHARK
2355,1991.10.05,05-Oct-91,1991,Unprovoked,USA,Surfing,"Arm, shoulder & back bitten",N,07h30,White Shark,BIG SHARK
2356,1991.09.19,19-Sep-91,1991,Invalid,BAHAMAS,Other activities,"Initally reported as a shark attack, forensic examination concluded cause of death was drowning",Y,17h00,Tiger Shark,MIDDLE SHARK
2357,1991.09.08,08-Sep-91,1991,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,15h00,White Shark,BIG SHARK
2358,1991.08.30,30-Aug-91,1991,Provoked,AUSTRALIA,Other activities,"Shark bit his arm, nearly severing it PROVOKED INCIDENT",N,Afternoon,BIG SHARK,BIG SHARK
2359,1991.08.26,26-Aug-91,1991,Unprovoked,USA,Swimming,Deep cuts on lower leg,N,13h30,Sand Shark,MIDDLE SHARK
2360,1991.08.12,12-Aug-91,1991,Unprovoked,USA,Other activities,Bite to left thigh & calf,N,16h35,BIG SHARK,BIG SHARK
2361,1991.08.09,09-Aug-91,1991,Provoked,USA,Other activities,Laceration to right forearm PROVOKED INCIDENT,N,,Lemon Shark,MIDDLE SHARK
2362,1991.07.30,30-Jul-91,1991,Boat,ITALY,Other activities,No Injury to occupant; canoe bitten,N,15h30,White Shark,BIG SHARK
2363,1991.07.27,27-Jul-91,1991,Unprovoked,USA,Other activities,Arm bitten,N,,BIG SHARK,BIG SHARK
2364,1991.07.18,18-Jul-91,1991,Unprovoked,USA,Swimming,Punctures in lower abdomen & groin ,N,,Blacktip Shark,SMALL SHARK
2366,1991.07.01.b,01-Jul-91,1991,Unprovoked,REUNION,Surfing,Left arm severed,N,17h30,Tiger Shark,MIDDLE SHARK
2367,1991.07.01.a,01-Jul-91,1991,Unprovoked,USA,Surfing,"Forearm, upper thigh, knee & ankle lacerated",N,09h30,White Shark,BIG SHARK
2372,1991.06.07.b,07-Jun-91,1991,Unprovoked,USA,Swimming,"Left ankle, calf, thigh and abdomen bitten",N,11h30,Bull Shark,SMALL SHARK
2373,1991.06.07.a,07-Jun-91,1991,Unprovoked,HONG KONG,Swimming,Abdomen bitten & leg severed  FATAL,Y,Between 06h00 & 07h20,Tiger Shark,MIDDLE SHARK
2374,1991.05.26,26-May-91,1991,Unprovoked,USA,Surfing,Right calf bitten,N,16h45,MIDDLE SHARK,MIDDLE SHARK
2375,1991.05.19,19-May-91,1991,Unprovoked,SOUTH AFRICA,Other activities,"No injury, tank scratched by shark",N,13h00,White Shark,BIG SHARK
2377,1991.04.16.b,16-Apr-91,1991,Provoked,USA,Other activities,Minor injury by captive shark PROVOKED INCIDENT,N,09h55,BIG SHARK,BIG SHARK
2378,1991.04.16.a,16-Apr-91,1991,Unprovoked,USA,Surfing,Right thigh,N,11h00,BIG SHARK,BIG SHARK
2379,1991.04.03,03-Apr-91,1991,Unprovoked,USA,Surfing,Deep lacerations to calf & ankle,N,17h30,BIG SHARK,BIG SHARK
2380,1991.03.03,03-Mar-91,1991,Unprovoked,AUSTRALIA,Other activities,Lacerations to arm & leg,N,,Grey Shark,SMALL SHARK
2381,1991.02.24,24-Feb-91,1991,Unprovoked,USA,Surfing,Calf lacerated & board bitten,N,09h30,White Shark,BIG SHARK
2382,1991.02.12,12-Feb-91,1991,Unprovoked,SOUTH AFRICA,Other activities,Foot & swim fin bitten,N,12h30,White Shark,BIG SHARK
2384,1991.01.09,09-Jan-91,1991,Unprovoked,AUSTRALIA,Surfing,"No injury, shark brushed ski",N,,MIDDLE SHARK,MIDDLE SHARK
2385,1991.01.00,Jan-91,1991,Unprovoked,AUSTRALIA,Surfing,Survived,N,,BIG SHARK,BIG SHARK
2388,1990.11.03,03-Nov-90,1990,Unprovoked,USA,Surfing,Leg bitten,N,15h00,White Shark,BIG SHARK
2389,1990.11.01,01-Nov-90,1990,Unprovoked,USA,Surfing,"Ear, shoulder, arm, wrist & ear injured",N,09h30,BIG SHARK,BIG SHARK
2390,1990.10.30.b,30-Oct-90,1990,Unprovoked,USA,Surfing,"Hand & wrist bitten, tooth fragments in wound",N,16h55,BIG SHARK,BIG SHARK
2394,1990.10.20,20-Oct-90,1990,Unprovoked,USA,Surfing,Wrist bitten,N,16h00,BIG SHARK,BIG SHARK
2395,1990.10.15,15-Oct-90,1990,Unprovoked,USA,Surfing,"No Injury, board bitten",N,15h00,Tiger Shark,MIDDLE SHARK
2396,1990.10.12,12-Oct-90,1990,Unprovoked,USA,Surfing,Superficial injuries to left foot & ankle,N,12h30,BIG SHARK,BIG SHARK
2397,1990.09.15,15-Sep-90,1990,Unprovoked,SOUTH AFRICA,Other activities,Right hand lacerated,N,13h20,White Shark,BIG SHARK
2398,1990.09.08,08-Sep-90,1990,Unprovoked,USA,Surfing,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,13h00,White Shark,BIG SHARK
2399,1990.09.05,05-Sep-90,1990,Boat,USA,Other activities,"No injury, kayak capsized",N,17h00,White Shark,BIG SHARK
2401,1990.08.28,28-Aug-90,1990,Unprovoked,USA,Surfing,4 punctures on leg & board bitten,N,16h50,White Shark,BIG SHARK
2406,1990.06.24,24-Jun-90,1990,Unprovoked,SOUTH AFRICA,Surfing,"FATAL, thigh bitten  ",Y,15h45,White Shark,BIG SHARK
2407,1990.06.23,23-Jun-90,1990,Unprovoked,BAHAMAS,Other activities,Left forearm bitten,N,14h30,BIG SHARK,BIG SHARK
2409,1990.05.10,10-May-90,1990,Unprovoked,AUSTRALIA,Other activities,Lacerations,N,,Hammerhead Shark,BIG SHARK
2410,1990.05.10,10-May-90,1990,Unprovoked,AUSTRALIA,Other activities,Lacerations,N,,Hammerhead Shark,BIG SHARK
2411,1990.05.06,06-May-90,1990,Unprovoked,SOUTH AFRICA,Surfing,Thigh severely lacerated,N,12h00,White Shark,BIG SHARK
2412,1990.04.14,14-Apr-90,1990,Unprovoked,SOUTH AFRICA,Surfing,Leg bitten,N,14h00,White Shark,BIG SHARK
2413,1990.04.09,09-Apr-90,1990,Unprovoked,AUSTRALIA,Surfing,"Lacerations & abrasions, board bitten in half",N,05h40,Tiger Shark,MIDDLE SHARK
2415,1990.04.07,07-Apr-90,1990,Unprovoked,AUSTRALIA,Surfing,"No injury, board broken in two",N,,MIDDLE SHARK,MIDDLE SHARK
2416,1990.04.06,06-Apr-90,1990,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten",N,,MIDDLE SHARK,MIDDLE SHARK
2419,1990.03.05,05-Mar-90,1990,Unprovoked,REUNION,Surfing,Survived,N,17h45,Bull Shark,SMALL SHARK
2420,1990.02.17,17-Feb-90,1990,Unprovoked,USA,Other activities,Right arm severed  FATAL,Y,21h30,BIG SHARK,BIG SHARK
2422,1990.01.12,12-Jan-90,1990,Unprovoked,USA,Surfing,"No injury, board bitten",N,,White Shark,BIG SHARK
2425,1989.12.03,03-Dec-89,1989,Unprovoked,AUSTRALIA,Other activities,"No details, ""recovering in Darwin Hospital""",UNKNOWN,,Tiger Shark,MIDDLE SHARK
2427,1989.11.22,22-Nov-89,1989,Unprovoked,AUSTRALIA,Surfing,Thigh bitten,N,,White Shark,BIG SHARK
2428,1989.11.18,18-Nov-89,1989,Unprovoked,SOUTH AFRICA,Other activities,FATAL,Y,12h05,White Shark,BIG SHARK
2430,1989.11.02,02-Nov-89,1989,Unprovoked,AUSTRALIA,Swimming,Left ankle broken & lacerated,N,,Bronze Shark,MIDDLE SHARK
2432,1989.10.22,22-Oct-89,1989,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten",N,14h20,White Shark,BIG SHARK
2433,1989.10.14,14-Oct-89,1989,Invalid,USA,Other activities,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then shark appeared and consumed most of remains",Y,16h30,Tiger Shark,MIDDLE SHARK
2434,1989.10.11,11-Oct-89,1989,Unprovoked,USA,Surfing,Foot & leg bitten,N,Evening,BIG SHARK,BIG SHARK
2435,1989.10.08,08-Oct-89,1989,Invalid,USA,Other activities,FATAL,Y,Late afternoon,Tiger Shark,MIDDLE SHARK
2436,1989.10.01,01-Oct-89,1989,Unprovoked,AUSTRALIA,Surfing,No details,UNKNOWN,,White Shark,BIG SHARK
2437,1989.09.17,17-Sep-89,1989,Unprovoked,SOUTH AFRICA,Other activities,Chest lacerated,N,14h30,White Shark,BIG SHARK
2439,1989.09.10,10-Sep-89,1989,Boat,USA,Other activities,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,N,,White Shark,BIG SHARK
2440,1989.09.09.b,09-Sep-89,1989,Unprovoked,USA,Other activities,Leg bitten,N,12h30,White Shark,BIG SHARK
2441,1989.09.09.a,09-Sep-89,1989,Unprovoked,USA,Surfing,Non-fatal,N,,Sand Shark,MIDDLE SHARK
2442,1989.09.03,03-Sep-89,1989,Provoked,USA,Other activities,Hand  & both arms bitten   PROVOKED INCIDENT,N,,Blue Shark,MIDDLE SHARK
2443,1989.08.29,29-Aug-89,1989,Provoked,AUSTRALIA,Other activities,Left leg bitten by captive shark                   PROVOKED INCIDENT,N,Afternoon,Grey Shark,SMALL SHARK
2444,1989.08.22.b,22-Aug-89,1989,Unprovoked,USA,Swimming,3 wounds on left hand,N,,BIG SHARK,BIG SHARK
2445,1989.08.22.a,22-Aug-89,1989,Unprovoked,SOUTH AFRICA,Surfing,Multiple Injuries,N,10h45,White Shark,BIG SHARK
2446,1989.08.13,13-Aug-89,1989,Unprovoked,AUSTRALIA,Surfing,"No injury, shark took chunk out of surfboard",N,06h30,Bronze Shark,MIDDLE SHARK
2448,1989.08.06.R,Reported    06-Aug-1989,1989,Provoked,AUSTRALIA,Other activities,Laceration to arm  PROVOKED INCIDENT,N,,White Shark,BIG SHARK
2450,1989.07.20,20-Jul-89,1989,Unprovoked,SOUTH AFRICA,Surfing,Torso bitten,N,10h35,White Shark,BIG SHARK
2453,1989.07.07,07-Jul-89,1989,Unprovoked,USA,Other activities,Leg bitten,N,,BIG SHARK,BIG SHARK
2455,1989.06.17,17-Jun-89,1989,Unprovoked,USA,Other activities,Puncture wounds & lacerations to both legs,N,,Tiger Shark,MIDDLE SHARK
2456,1989.06.06,06-Jun-89,1989,Unprovoked,ITALY,Surfing,Upper right thigh bitten,N,15h30,White Shark,BIG SHARK
2457,1989.06.05,05-Jun-89,1989,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board bitten",N,16h15,White Shark,BIG SHARK
2458,1989.06.03,03-Jun-89,1989,Unprovoked,SOUTH AFRICA,Other activities,Forearm bitten,N,15h30,White Shark,BIG SHARK
2460,1989.04.23,23-Apr-89,1989,Unprovoked,USA,Swimming,Right calf bitten,N,,BIG SHARK,BIG SHARK
2461,1989.04.12,12-Apr-89,1989,Unprovoked,USA,Surfing,Forearm bitten,N,10h45,White Shark,BIG SHARK
2462,1989.04.09,09-Apr-89,1989,Boat,USA,Other activities,No injury to occupants. Shark rammed boat 4 times,N,10h35,White Shark,BIG SHARK
2465,1989.03.09,09-Mar-89,1989,Unprovoked,AUSTRALIA,Surfing,Thigh bitten FATAL,Y,20h15,White Shark,BIG SHARK
2466,1989.03.04,04-Mar-89,1989,Boat,AUSTRALIA,Other activities,"No injury, but the kayak was bitten by the shark",N,,Tiger Shark,MIDDLE SHARK
2467,1989.02.19,19-Feb-89,1989,Provoked,SOUTH AFRICA,Other activities,Thigh lacerated & abraded  PROVOKED INCIDENT,N,,BIG SHARK,BIG SHARK
2469,1989.02.02,02-Feb-89,1989,Unprovoked,ITALY,Swimming,FATAL. His body not recovered,Y,10h25,White Shark,BIG SHARK
2470,1989.01.26.b,26-Jan-89,1989,Invalid,USA,Other activities,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,Y,10h15,White Shark,BIG SHARK
2471,1989.01.26.a,26-Jan-89,1989,Unprovoked,USA,Other activities,"FATAL, thigh bitten, hands lacerated  ",Y,10h15,White Shark,BIG SHARK
2472,1989.01.20.b,20-Jan-89,1989,Unprovoked,USA,Other activities,Foot bitten,N,,Hammerhead Shark,BIG SHARK
2475,1989.01.03,03-Jan-89,1989,Unprovoked,AUSTRALIA,Surfing,"Abdomen lacerated, surfboard holed",N,17h15,Tiger Shark,MIDDLE SHARK
2476,1989.00.00.b,1989,1989,Unprovoked,PAPUA NEW GUINEA,Other activities,Thigh & calf bitten,N,,BIG SHARK,BIG SHARK
2478,1988.12.15,15-Dec-88,1988,Unprovoked,CHILE,Other activities,FATAL,Y,,White Shark,BIG SHARK
2482,1988.10.23,23-Oct-88,1988,Unprovoked,USA,Surfing,Leg bitten & femur fractured,N,17h30,White Shark,BIG SHARK
2483,1988.10.22,22-Oct-88,1988,Unprovoked,AUSTRALIA,Surfing,Lacerations to right leg,N,,BIG SHARK,BIG SHARK
2484,1988.10.14,14-Oct-88,1988,Unprovoked,USA,Surfing,Lacerations to left thigh,N,,BIG SHARK,BIG SHARK
2485,1988.10.11,11-Oct-88,1988,Unprovoked,USA,Surfing,Left leg lacerated,N,X,BIG SHARK,BIG SHARK
2486,1988.10.10,10-Oct-88,1988,Unprovoked,USA,Surfing,Hand lacerated,N,18h30,BIG SHARK,BIG SHARK
2488,1988.10.00,Oct-88,1988,Unprovoked,USA,Other activities,Leg lacerated,N,,BIG SHARK,BIG SHARK
2489,1988.09.28,28-Sep-88,1988,Unprovoked,USA,Surfing,Lacerations to foot,N,Afternoon,BIG SHARK,BIG SHARK
2490,1988.09.13.b,13-Sep-88,1988,Unprovoked,USA,Other activities,Dennis' hand injured; Ann's right forearm bitten,N,15h45,BIG SHARK,BIG SHARK
2491,1988.09.13.a,13-Sep-88,1988,Unprovoked,USA,Other activities,"FATAL, thigh & hand lacerated",Y,15h00,Bull Shark,SMALL SHARK
2492,1988.08.22.b,22-Aug-88,1988,Provoked,USA,Other activities,Arm bitten by captive shark PROVOKED INCIDENT,N,,Tiger Shark,MIDDLE SHARK
2495,1988.08.11,11-Aug-88,1988,Unprovoked,USA,Surfing,Thigh bitten,N,09h30,White Shark,BIG SHARK
2496,1988.07.23,23-Jul-88,1988,Unprovoked,BAHAMAS,Other activities,Hand bitten,N,,BIG SHARK,BIG SHARK
2497,1988.07.19,19-Jul-88,1988,Unprovoked,BAHAMAS,Other activities,Cheek bitten,N,,Caribbean Reef Shark,SMALL SHARK
2498,1988.07.17,17-Jul-88,1988,Unprovoked,BAHAMAS,Other activities,Right palm lacerated,N,,Caribbean Reef Shark,SMALL SHARK
2501,1988.07.04.a,04-Jul-88,1988,Unprovoked,BAHAMAS,Other activities,Leg lacerated,N,,BIG SHARK,BIG SHARK
2503,1988.06.19,16-Jun-88,1988,Unprovoked,SOUTH AFRICA,Other activities,Left arm lacerated,N,09h45,White Shark,BIG SHARK
2504,1988.06.16,16-Jun-88,1988,Unprovoked,USA,Other activities,Survived,N,,Tiger Shark,MIDDLE SHARK
2505,1988.06.09,09-Jun-88,1988,Unprovoked,USA,Other activities,Left leg bitten,N,16h00,Sand Shark,MIDDLE SHARK
2507,1988.06.01,01-Jun-88,1988,Unprovoked,USA,Surfing,Cuts to right foot and ankle,N,08h57,BIG SHARK,BIG SHARK
2512,1988.04.24,24-Apr-88,1988,Unprovoked,USA,Surfing,No Injury,N,,White Shark,BIG SHARK
2520,1988.03.16,16-Mar-88,1988,Unprovoked,SOUTH AFRICA,Surfing,"Lower left leg bitten, hand lacerated",N,16h45,BIG SHARK,BIG SHARK
2522,1988.02.15, 15-Feb-1988,1988,Boat,SOUTH AFRICA,Other activities,"No injury to occupants, pontoon puctured",N,,Raggedtooth Shark,Raggedtooth Shark
2523,1988.02.14,14-Feb-88,1988,Unprovoked,SOUTH AFRICA,Surfing,Ankle bitten,N,17h00,Grey Shark,SMALL SHARK
2525,1988.02.12,12-Feb-88,1988,Boat,AUSTRALIA,Other activities,"No injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat",N,,Mako Shark,SMALL SHARK
2526,1988.02.02,02-Feb-88,1988,Unprovoked,Fiji,Other activities,Lacerations to left arm & waist,N,,Tiger Shark,MIDDLE SHARK
2529,1988.01.14,14-Jan-88,1988,Provoked,USA,Other activities,Hand bitten by captured shark PROVOKED INCIDENT,N,,Mako Shark,SMALL SHARK
2532,1988.00.00.c,1988,1988,Unprovoked,AUSTRALIA,Surfing,Hand bitten,N,,Wobbegong Shark,SMALL SHARK
2534,1987.12.17,17-Dec-87,1987,Unprovoked,USA,Surfing,Left calf bitten,N,13h00,Blacktip Shark,SMALL SHARK
2535,1987.12.13,13-Dec-87,1987,Invalid,AUSTRALIA,Other activities,Remains recovered from shark,Y,,Tiger Shark,MIDDLE SHARK
2538,1987.10.26,26-Oct-87,1987,Unprovoked,USA,Surfing,Buttock & leg bitten,N,17h00,BIG SHARK,BIG SHARK
2540,1987.10.11,11-Oct-87,1987,Unprovoked,SOUTH AFRICA,Other activities,Left thigh & calf lacerated,N,12h15,White Shark,BIG SHARK
2542,1987.09.18,18-Sep-87,1987,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,,White Shark,BIG SHARK
2543,1987.09.13,13-Sep-87,1987,Unprovoked,SOUTH AFRICA,Surfing,Torso lacerated,N,11h00,White Shark,BIG SHARK
2544,1987.08.20,20-Aug-87,1987,Unprovoked,USA,Other activities,Lower left leg lacerated,N,11h30,BIG SHARK,BIG SHARK
2545,1987.08.15,15-Aug-87,1987,Unprovoked,USA,Surfing,Fingers & surfboard injured,N,07h30,White Shark,BIG SHARK
2546,1987.07.21,21-Jul-87,1987,Unprovoked,USA,Surfing,Right foot & ankle lacerated,N,09h15,BIG SHARK,BIG SHARK
2547,1987.07.12.b,12-Jul-87,1987,Unprovoked,USA,Surfing,Left foot bitten,N,18h30,BIG SHARK,BIG SHARK
2548,1987.07.12.a,12-Jul-87,1987,Unprovoked,USA,Other activities,Puncture wounds to right foot,N,14h30,BIG SHARK,BIG SHARK
2549,1987.07.11,11-Jul-87,1987,Boat,USA,Other activities,No injury to occupants. Shark grabbed anchor ,N,,BIG SHARK,BIG SHARK
2551,1987.07.00,Jul-87,1987,Unprovoked,BAHAMAS,Other activities,Puncture marks to torso,N,,MIDDLE SHARK,MIDDLE SHARK
2552,1987.06.13,13-Jun-87,1987,Provoked,USA,Other activities,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,Afternoon,Blacktip Shark,SMALL SHARK
2553,1987.05.25,25-May-87,1987,Unprovoked,USA,Other activities,"6"" cut to thigh",N,,BIG SHARK,BIG SHARK
2559,1987.04.01,01-Apr-87,1987,Unprovoked,VANUATU,Swimming,FATAL,Y,12h00,MIDDLE SHARK,MIDDLE SHARK
2560,1987.03.30.b,30-Mar-87,1987,Unprovoked,AUSTRALIA,Surfing,Calf lacerated,N,,Bronze Shark,MIDDLE SHARK
2561,1987.03.30.a,30-Mar-87,1987,Provoked,SOUTH AFRICA,Other activities,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",N,,White Shark,BIG SHARK
2564,1987.01.28,28-Jan-87,1987,Unprovoked,SOUTH AFRICA,Other activities,Puncture wounds to right hand,N,12h00,White Shark,BIG SHARK
2567,1987.00.00.a,1987,1987,Boat,ITALY,Other activities,No injury,N,,White Shark,BIG SHARK
2568,1986.12.31,31-Dec-86,1986,Unprovoked,SOUTH AFRICA,Other activities,2 punctures in lower leg,N,14h00,Raggedtooth Shark,Raggedtooth Shark
2569,1986.12.22,22-Dec-86,1986,Unprovoked,SOUTH AFRICA,Other activities,"FATAL, legs bitten ",Y,17h00,White Shark,BIG SHARK
2570,1986.12.11,11-Dec-86,1986,Unprovoked,USA,Surfing,Forearm bitten,N,14h00,Blacktip Shark,SMALL SHARK
2572,1986.12.06.a,06-Dec-86,1986,Unprovoked,USA,Other activities,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",N,10h00,White Shark,BIG SHARK
2573,1986.12.04,04-Dec-86,1986,Invalid,SOUTH AFRICA,Other activities,"No injury, no attack, shark made threat displays",N,,BIG SHARK,BIG SHARK
2574,1986.12.00,Dec-86,1986,Unprovoked,NEW CALEDONIA,Other activities,Right leg bitten,N,,Tiger Shark,MIDDLE SHARK
2578,1986.10.17,17-Oct-86,1986,Provoked,SOUTH AFRICA,Other activities,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,N,,Raggedtooth Shark,Raggedtooth Shark
2579,1986.10.03,03-Oct-86,1986,Unprovoked,USA,Swimming,Hip & thigh bitten,N,18h00,Lemon Shark,MIDDLE SHARK
2582,1986.10.00,Oct-86,1986,Unprovoked,USA,Surfing,Laceration to right arm,N,,Bull Shark,SMALL SHARK
2583,1986.09.22.R,Reported 22-Sep-1986 ,1986,Invalid,USA,Other activities,Human hand recovered from shark's stomach,N,,Blacktip Shark,SMALL SHARK
2587,1986.08.10,10-Aug-86,1986,Invalid,SOUTH AFRICA,Other activities,"No injury, shark made threat display & impaled itself on spear ",N,11h30,White Shark,BIG SHARK
2588,1986.08.03,03-Aug-86,1986,Unprovoked,AUSTRALIA,Other activities,Survived,N,,Wobbegong Shark,SMALL SHARK
2590,1986.07.26,26-Jul-86,1986,Boat,AUSTRALIA,Other activities,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",N,,White Shark,BIG SHARK
2591,1986.07.09,09-Jul-86,1986,Unprovoked,USA,Other activities,Back of left thigh bitten,N,,BIG SHARK,BIG SHARK
2592,1986.07.00.a,Jul-86,1986,Unprovoked,SOUTH AFRICA,Other activities,Minor lacerations on left hand,N,17h15,Dusky Shark,MIDDLE SHARK
2593,1986.05.18,18-May-86,1986,Unprovoked,AUSTRALIA,Other activities,Survived,N,,Wobbegong Shark,SMALL SHARK
2596,1986.04.00,Apr-86,1986,Unprovoked,SPAIN,Other activities,Abrasions,N,,BIG SHARK,BIG SHARK
2597,1986.03.18,18-Mar-86,1986,Unprovoked,SPAIN,Surfing,Foot severed,N,10h55,White Shark,BIG SHARK
2598,1986.03.15,15-Mar-86,1986,Unprovoked,SOUTH AFRICA,Other activities,Foot bitten,N,16h15,BIG SHARK,BIG SHARK
2599,1986.03.05,05-Mar-86,1986,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board struck by shark",N,,BIG SHARK,BIG SHARK
2600,1986.02.18,18-Feb-86,1986,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board bitten",N,12h00,White Shark,BIG SHARK
2602,1986.02.07,07-Feb-86,1986,Unprovoked,SOUTH AFRICA,Swimming,Lower leg lacerated,N,18h30,Raggedtooth Shark,Raggedtooth Shark
2603,1986.02.06,06-Feb-86,1986,Unprovoked,SOUTH AFRICA,Other activities,2 punctures in upper arm,N,13h30,Raggedtooth Shark,Raggedtooth Shark
2604,1986.02.01,01-Feb-86,1986,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked into water & board bitten",N,06j00,Bronze Shark,MIDDLE SHARK
2605,1986.01.12,12-Jan-86,1986,Unprovoked,USA,Surfing,Puncture wounds to both feet,N,08h35,Blacktip Shark,SMALL SHARK
