,Month,Year,Type,Country,Area,Activity,Sex,Injury,Fatal,original order
686,Jun,2011,Unprovoked,COSTA RICA,Guanacaste,Surfing,M,FATAL,Y,5307
687,Jun,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boogie Boarding,M,FATAL,Y,5306
689,Jun,2011,Unprovoked,USA,Florida,Scuba diving,M,Lacerations to right calf,N,5304
690,Jun,2011,Unprovoked,COLUMBIA,San Andr�s archipelago,Spearfishing,M,Injuries to right hand and forearm,N,5303
691,Jun,2011,Unprovoked,USA,California,Spearfishing,M,"No injury, minor damage to wetsuit",N,5302
692,Jun,2011,Unprovoked,USA,Florida,Wading,M,Puncture wound to calf,N,5301
693,Jun,2011,Unprovoked,MALAYSIA,Kedah,Snorkeling,F,Laceration to dorsum of right foot,N,5300
694,May,2011,Unprovoked,USA,Texas,Standing or boogie boardin,F,Lacerations & punctures to right thigh ,N,5299
695,May,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"No injury, board bumped by shark",N,5298
696,May,2011,Unprovoked,USA,Hawaii,Surfing,F,"No injury, board bitten",N,5297
697,May,2011,Unprovoked,USA,Hawaii,Paddle boarding,F,"No injury, board bitten",N,5296
698,May,2011,Unprovoked,NEW CALEDONIA,North Province,Kite Boarding,M,"Thigh bitten, FATAL",Y,5295
699,May,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,"Thigh bitten, FATAL",Y,5294
700,May,2011,Unprovoked,USA,Florida,Body surfing,M,Lacerations to left foot & ankle,N,5293
701,May,2011,Unprovoked,USA,Florida,Surfing,M,Minor injury; puncture wounds to calf,N,5292
702,May,2011,Provoked,USA,Florida,Fishing ,M,Laceration to arm by captive shark PROVOKED INCIDENT,N,5291
703,May,2011,Invalid,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Fishing ,M,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",N,5290
704,May,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Calf bitten,N,5289
705,Apr,2011,Unprovoked,USA,Florida,Spearfishing,M,Calf bitten,N,5288
706,Apr,2011,Unprovoked,AUSTRALIA,Western Australia,Washing sand off a speared fish,M,Heel bitten,N,5287
707,Apr,2011,Unprovoked,USA,Florida,Surfing ,M,Minor puncture wounds,N,5286
708,Apr,2011,Unprovoked,NEW ZEALAND,South Island,Surfing,M,Puncture to left hand,N,5285
709,Apr,2011,Unprovoked,INDONESIA,Bali,Surfing,M,Lacerations to forearm,N,5284
710,Apr,2011,Unprovoked,FIJI,Vitu Levu,Diving,M,Minor injuries to left leg and hand,N,5283
711,Mar,2011,Provoked,USA,Texas,"Standing, holding shark pup",M,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,5282
712,Mar,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,F,Lower leg & foot bitten,N,5281
713,Mar,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to left forearm,N,5280
714,Mar,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,M,Right foot bitten,N,5279
715,Mar,2011,Unprovoked,FIJI,,Diving / fishing,M,"Left forearm severely bitten, surgically amputated",N,5278
716,Mar,2011,Unprovoked,AUSTRALIA,New South Wales,Wakeboarding,F,"Severe injuries to head, neck, shoulder & upper left arm",N,5277
717,Mar,2011,Invalid,EGYPT,South Sinai Peninsula,,F,"Apparent drowning, and subsequent scavenging by 16' tiger shark",N,5276
718,Mar,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surboard broken",N,5275
719,Feb,2011,Provoked,AUSTRALIA,Queensland,Fishing,M,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,5274
720,Feb,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,Spearfishing,M,Lacerations to left forearm,N,5273
721,Feb,2011,Unprovoked,REUNION,Saint Gilles ,Surfing,M,Left leg severed at the knee,N,5272
722,Feb,2011,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,M,FATAL,Y,5271
723,Feb,2011,Provoked,AUSTRALIA,Queensland,Fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,5270
724,Feb,2011,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,Arm bitten,N,5269
725,Feb,2011,Provoked,MEXICO,Colima,Shark fishing on the Ricardo Astorga,M,Left foot bitten PROVOKED INCIDENT,N,5268
726,Feb,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf fishing,M,Right leg bitten,N,5267
727,Jan,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,F,"Leg, forearm & hand severely bitten",N,5266
728,Jan,2011,Provoked,MEXICO,Colima,Shark fishing on the Don Agust�n-VI. ,M,Left eg bitten PROVOKED INCIDENT,N,5265
729,Jan,2011,Unprovoked,BAHAMAS,West End,Scuba diving,M,Arm bitten ,N,5264
730,Jan,2011,Invalid,AUSTRALIA,New South Wales,Swimming,F,Lacerations to both legs,N,5263
731,Jan,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,5262
732,Jan,2011,Unprovoked,MEXICO,Quintana Roo,Attempting to fix motor,M,Bitten on leg and groin,N,5261
734,Dec,2010,Unprovoked,USA,Hawaii,Body boarding,M,"Lacerations to his lower left leg, calf, foot & ankle",N,5259
735,Dec,2010,Unprovoked,FIJI,Vitu Levu,Surfing,M,Lacerations to  foot,N,5258
736,Dec,2010,Unprovoked,USA,Hawaii,Surfing,M,Lacerations to right foot,N,5257
737,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,FATAL,Y,5256
738,Dec,2010,Unprovoked,INDONESIA,Bali,Surfing,M,Lacerations to right hand,N,5255
739,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,M,Both arms severely bitten,N,5254
740,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,M,Lacerations to right leg,N,5253
741,Nov,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,5252
742,Nov,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,Foot and arm bitten,N,5251
743,Nov,2010,Unprovoked,SAMOA,,Fishing,M,Serious wounds to chest,N,5250
744,Nov,2010,Invalid,AUSTRALIA,Western Australia,Swimming,M,Death may have been due to drowning,Y,5249
745,Nov,2010,Provoked,USA,Palmyra Atoll,Snorkeling,M,Head bitten by netted shark PROVOKED INCIDENT,N,5248
746,Nov,2010,Unprovoked,DOMINICAN REPUBLIC,,Diving,M,FATAL,Y,5247
747,Nov,2010,Unprovoked,INDONESIA,Bali,Surfing,M,Hand bitten ,N,5246
748,Nov,2010,Boat,AUSTRALIA,Western Australia,Fishing,M,No injury to occupant. Shark rammed bottom of the boat,N,5245
749,Oct,2010,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Torso and left buttock bitten,N,5244
750,Oct,2010,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,"No injury, shark head-butted diver's thigh",N,5243
751,Oct,2010,Unprovoked,USA,Oregon,Surfing,M,No injury to surfer,N,5242
752,Oct,2010,Provoked,AZORES,,Fishing,M,PROVOKED INCIDENT?  ,N,5241
753,Oct,2010,Unprovoked,USA,Maine,Scuba diving,M,"No injury to diver, shark bit his video camera",N,5240
754,Oct,2010,Unprovoked,AUSTRALIA,Western Australia,Kite Surfing,M,Lacerations to lower right leg,N,5239
755,Oct,2010,Unprovoked,USA,California,Body boarding,M,FATAL,Y,5238
756,Oct,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,Multiple lacerations to left leg and foot,N,5237
757,Oct,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Foot bitten,N,5236
758,Oct,2010,Unprovoked,BAHAMAS,Exuma Islands,Snorkeling,M,Calf bitten,N,5235
759,Oct,2010,Unprovoked,BAHAMAS,Abaco Islands,Surfing,F,Bitten between left ankle & knee,N,5234
760,Oct,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,3 lacerations to foot,N,5233
761,Sep,2010,Unprovoked,USA,Oregon,Surfing,M,"No injury, surfboard rammed",N,5232
762,Sep,2010,Unprovoked,USA,Virginia,Surfing,M,Bite to left ankle and knee,N,5231
763,Sep,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,FATAL,Y,5230
764,Sep,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations and puncture wounds to leg and foot,N,5229
765,Sep,2010,Unprovoked,USA,Florida,Swimming,M,Lacerations to left wrist,N,5228
766,Sep,2010,Unprovoked,TONGA,Ha'api ,Swimming /  Whale Watching,M,Puncture wounds to right foot,N,5227
767,Sep,2010,Unprovoked,USA,Florida,Surfing,M,"No injury, shark charged surfboard",N,5226
768,Sep,2010,Unprovoked,USA,Florida,Surfing,M,Lacerations to right  hand ,N,5225
769,Sep,2010,Unprovoked,USA,Florida,Surfing,M,Left thigh bitten,N,5224
770,Sep,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,M,Lacerations to face and neck,N,5223
771,Aug,2010,Invalid,BAHAMAS,Exuma Islands,Swimming after boat became disabled,M,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Y,5222
772,Aug,2010,Unprovoked,USA,Florida,Boogie Boarding,M,Minor injuries to foot,N,5221
773,Aug,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,FATAL,Y,5220
774,Aug,2010,Unprovoked,USA,California,Kayak Fishing,M,"No injury, kayak bitten",N,5219
775,Aug,2010,Provoked,AUSTRALIA,Queensland,Fishing,F,Leg bitten by hooked shark PROVOKED INCIDENT,N,5218
776,Aug,2010,Unprovoked,SOUTH KOREA,Jeju Province,Swimming,F,Lacerations to left lower leg,N,5217
777,Aug,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left foot bitten,N,5216
778,Aug,2010,Unprovoked,USA,North Carolina,Surfing,M,Left foot bitten,N,5215
779,Aug,2010,Unprovoked,MALTA,,Windsurfing,M,"No injury, sail bitten",N,5214
780,Aug,2010,Invalid,USA,Florida,Swimming,F,Minor abrasions to legs when she was lifted on the back of a large marine animal,N,5213
781,Aug,2010,Unprovoked,USA,California,Kayaking,M,"No injury, kayak bitten",N,5212
782,Aug,2010,Unprovoked,USA,Florida,Standing,F,Lacerations to forearm,N,5211
783,Jul,2010,Unprovoked,USA,South Carolina,Standing,M,Lacerations to right lower leg,N,5210
784,Jul,2010,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,5209
785,Jul,2010,Unprovoked,USA,South Carolina,Swimming,M,Minor lacerations to left calf,N,5208
786,Jul,2010,Unprovoked,USA,North Carolina,Swimming,F,Lacerations to right forearm,N,5207
787,Jul,2010,Unprovoked,USA,Florida,Surfing,M,Minor lacerations to right foot,N,5206
788,Jul,2010,Provoked,SPAIN,Grand Canary Island,Swimming,M,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,5205
789,Jul,2010,Unprovoked,USA,Texas,Fishing,M,Leg bitten,N,5204
790,Jul,2010,Provoked,USA,Florida,Fishing,M,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,5203
791,Jul,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,F,Left leg bitten,N,5202
792,Jul,2010,Provoked,USA,New York,Fishing,M,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,5201
793,Jul,2010,Unprovoked,USA,California,Surfing,M,Laceration to left foot,N,5200
794,Jul,2010,Unprovoked,USA,California,Stand-Up Paddleboarding,M,"No injury, board bumped by shark",N,5199
795,Jun,2010,Unprovoked,USA,Texas,Surfing,M,Lacerations to right foot,N,5198
796,Jun,2010,Unprovoked,USA,South Carolina,Boogie Boarding,F,Laceration to leg,N,5197
797,Jun,2010,Unprovoked,USA,North Carolina,Swimming,F,Laceration to left foot,N,5196
798,Jun,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,Laceration to left foot,N,5195
799,Jun,2010,Unprovoked,USA,Florida,Boogie Boarding,F,Lacerations to left calf and foot,N,5194
800,Jun,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Severe laceration to right knee,N,5193
801,Jun,2010,Unprovoked,USA,Florida,Surfing,M,Lacerations to left foot,N,5192
802,May,2010,Provoked,USA,Florida,Fishing,M,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,5191
803,May,2010,Unprovoked,VIETNAM,Binh Dinh Province,Rescuing,F,Minor laceration to leg,N,5190
804,May,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,Severe lacerations to left foot,N,5189
805,May,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Superficial lacerations to lower left leg,N,5188
806,May,2010,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,M,Lacerations to arm & chest,N,5187
807,May,2010,Unprovoked,USA,Florida,Wading,F,Minor puncture wounds to right ankle,N,5186
808,Apr,2010,Provoked,USA,Florida,Measuring sharks,M,Arm bitten PROVOKED INCIDENT ,N,5185
809,Apr,2010,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,5184
810,Apr,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Both feet bitten,N,5183
811,Apr,2010,Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,M,Lacerations to left ankle and foot,N,5182
812,Mar,2010,Unprovoked,REUNION,Saint-Benoit,Surfing,M,"No injury, board bitten",N,5181
813,Feb,2010,Unprovoked,NEW ZEALAND,South Island,Swimming,M,Bruised but otherwise unhurt,N,5180
814,Feb,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Lacerations to right leg,N,5179
815,Feb,2010,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,M,FATAL,Y,5178
816,Feb,2010,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,Lacerations to legs & buttocks,N,5177
817,Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Minor injury, lacerations to left lower leg",N,5176
818,Feb,2010,Provoked,NEW ZEALAND,South Island,Spearfishing,M,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N,5175
819,Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,"No injury, shark & board collided",N,5174
820,Feb,2010,Provoked,USA,Florida,Surf fishing / wading,M,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,5173
821,Feb,2010,Invalid,GUAM,Merizo,Spearfishing (free diving),M,Shark bites were post-mortem,Y,5172
822,Feb,2010,Unprovoked,USA,Florida,Kite Boarding,M,FATAL,Y,5171
823,Feb,2010,Provoked,NEW ZEALAND,South Island,Boogie Boarding,F,Stepped on shark PROVOKED INCIDENT,N,5170
824,Jan,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,M,Foot bitten,N,5169
825,Jan,2010,Unprovoked,AUSTRALIA,Queensland,Surfing,M,"No injury, surfboard bitten",N,5168
826,Jan,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,M,Laceration to bottom of foot,N,5167
827,Jan,2010,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Lacerations to right hand ,N,5166
828,Jan,2010,Unprovoked,SOUTH AFRICA,Western Province,Standing,M,FATAL,Y,5165
829,Jan,2010,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,F,2 sets of minor lacerations below her right knee,N,5164
830,Jan,2010,Unprovoked,VIETNAM,Binh Dinh Province,,F,Minor injuries,N,5163
831,Jan,2010,Unprovoked,VIETNAM,Binh Dinh Province,,M,Right wrist bitten,N,5162
832,Jan,2010,Unprovoked,VIETNAM,Binh Dinh Province,Bathing,M,Left arm bitten twice,N,5161
833,Jan,2010,Unprovoked,USA,Florida,Spearfishing,M,Lacerations to  arm,N,5160
834,Jan,2010,Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,M,"No injury, reportedly knocked of his board by a shark",N,5159
835,Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,M,Lacerations to  left foot,N,5158
836,Dec,2009,Provoked,AUSTRALIA,New South Wales,Swimming,M,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,5157
837,Dec,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,M,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,5156
838,Dec,2009,Boat,AUSTRALIA,Queensland,Kayaking,M,"No injury to occupants, kayak bumped by shark",N,5155
839,Dec,2009,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Lacerations to hand & forearm,N,5154
840,Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,M,FATAL,Y,5153
841,Dec,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",N,5152
842,Dec,2009,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,M,FATAL,Y,5151
843,Dec,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Laceration to big toe,N,5150
845,Dec,2009,Provoked,USA,New Jersey,Diving,M,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,5148
846,Nov,2009,Invalid,USA,California,Surfing,M,Puncture wounds to right foot,N,5147
847,Nov,2009,Unprovoked,USA,Florida,Wading,M,Left foot bitten,N,5146
848,Nov,2009,Unprovoked,USA,California,Fishing,M,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,5145
849,Nov,2009,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,5144
850,Nov,2009,Unprovoked,USA,Florida,Surfing,F,Foot bitten,N,5143
851,Nov,2009,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,5142
852,Nov,2009,Unprovoked,AUSTRALIA,South Australia,Kayaking,M,Ankle bitten,N,5141
853,Nov,2009,Unprovoked,USA,California,Surfing,M,"No injury, board broken in half",N,5140
854,Oct,2009,Unprovoked,AUSTRALIA,Victoria,Kayaking,M,"No injury, shark bit kayak",N,5139
855,Oct,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,Left ankle & foot bitten,N,5138
856,Oct,2009,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,F,"No injury, shark bit rear of paddleboard",N,5137
857,Oct,2009,Unprovoked,USA,California,Surfing,M,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,5136
858,Oct,2009,Unprovoked,USA,Hawaii,Surfing,M,Bitten on upper right thigh & right ankle,N,5135
859,Oct,2009,Unprovoked,PANAMA,Bocas,Wading,F,Arm & torso bitten,N,5134
860,Oct,2009,Provoked,SCOTLAND,Fife,Diving,M,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,5133
861,Oct,2009,Unprovoked,AUSTRALIA,Western Australia,Diving,M,Severe lacerations to lower right leg,N,5132
862,Oct,2009,Unprovoked,USA,California,Surfing,M,Laceration to shin of left leg,N,5131
863,Oct,2009,Provoked,UNITED KINGDOM,Devon,Fishing,M,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,5130
864,Sep,2009,Unprovoked,USA,Florida,Swimming,M,Laceration to right foot,N,5129
865,Sep,2009,Unprovoked,VIETNAM,,,M,Lower right leg bitten,N,5128
866,Sep,2009,Provoked,SOMALIA,,Fishing,M,Arm bitten PROVOKED INCIDENT ,N,5127
867,Sep,2009,Provoked,BRAZIL,Pernambuco,,M,Cause of death was drowning; his remains were scavenged by sharks,Y,5126
868,Sep,2009,Invalid,USA,North Carolina,Swimming,M,FATAL,Y,5125
869,Sep,2009,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",M,FATAL,Y,5124
870,Sep,2009,Invalid,NEVIS,,Swimming,M,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Y,5123
871,Sep,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,M,Injuries to face & neck PROVOKED INCIDENT,N,5122
872,Aug,2009,Unprovoked,USA,California,Surfing,M,No injury,N,5121
873,Aug,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,FATAL,Y,5120
874,Aug,2009,Unprovoked,USA,California,Swimming,F,Puncture wounds to left foot & calf,N,5119
875,Aug,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,"No injury, shark bit bodyboard",N,5118
876,Aug,2009,Unprovoked,USA,Florida,Swimming,M,Puncture marks on left foot,N,5117
877,Aug,2009,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,5116
878,Aug,2009,Unprovoked,USA,Louisiana,Wade Fishing,M,Right ankle & foot bitten,N,5115
879,Jul,2009,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to calf,N,5114
880,Jul,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left forearm grazed & puncture marks in wetsuit,N,5113
881,Jul,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,Foot bitten,N,5112
882,Jul,2009,Unprovoked,KENYA,Mombasa,Washing his feet,M,FATAL,Y,5111
883,Jul,2009,Unprovoked,USA,Texas,Wading,F,Lacerations to anterior left lower leg,N,5110
884,Jul,2009,Invalid,SPAIN,Catalunya,Swimming,F,Laceration to left foot,N,5109
885,Jul,2009,Unprovoked,USA,North Carolina,Swimming,F,Laceration to left foot,N,5108
886,Jul,2009,Unprovoked,USA,Florida,Swimming,F,Laceration to lower right leg,N,5107
887,Jul,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,Severe bite to right leg,N,5106
888,Jul,2009,Provoked,BAHAMAS,,Spearfishing,M,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,5105
889,Jul,2009,Unprovoked,USA,California,Paddle-surfing,M,"No injury, shark collided with surfer & board",N,5104
890,Jul,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Leg bitten,N,5103
891,Jul,2009,Unprovoked,USA,Florida,Boogie Boarding,F,Right ankle bitten,N,5102
892,Jul,2009,Provoked,USA,Florida,Swimming,F,Thigh injured by hooked shark PROVOKED INCIDENT,N,5101
893,Jun,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,2-inch laceration to upper left arm,N,5100
894,Jun,2009,Invalid,USA,California,Surfing,M,Puncture wounds to foot,N,5099
895,Jun,2009,Invalid,USA,Florida,Crawling,M,2-inch laceration to upper left arm,N,5098
896,Jun,2009,Provoked,VIETNAM,,Fishing for sharks,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,5097
897,Jun,2009,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,Lacerations to left hand,N,5096
898,Jun,2009,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,3 cm laceration to shoulder,N,5095
899,Jun,2009,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,F,FATAL,Y,5094
900,May,2009,Provoked,TAIWAN,Off Green Island,Fishing,M,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,5093
901,May,2009,Provoked,USA,Florida,Swimming,M,Right foot bitten,N,5092
902,May,2009,Unprovoked,USA,Florida,Surfing,M,Lacerations to left leg & foot,N,5091
903,May,2009,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,5090
904,May,2009,Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,5089
905,May,2009,Provoked,GUAM,North Region,Spearfishing,M,Speared shark bit his forearm PROVOKED INCIDENT,N,5088
906,Mar,2009,Provoked,BAHAMAS,Exuma Islands,Spearfishing,M,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,5087
907,Apr,2009,Unprovoked,USA,Florida,,F,Multiple lacerations to right foot & ankle,N,5086
908,Apr,2009,Unprovoked,USA,California,Surfing,M,No injury,N,5085
909,Apr,2009,Unprovoked,USA,Florida,Surfing,M,3 puncture wounds to posterior right ankle,N,5084
910,Apr,2009,Unprovoked,PHILIPPINES,Batangas province,Swimming,M,Legs bitten,N,5083
911,Apr,2009,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,5082
912,Apr,2009,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,"No injury, catapulted into the water & ski damage",N,5081
913,Apr,2009,Unprovoked,USA,Florida,Surfing,M,Laceration to forearm,N,5080
914,Apr,2009,Invalid,USA,Hawaii,Spearfishing,M,Missing,N,5079
915,Apr,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Body not recovered,Y,5078
916,Apr,2009,Unprovoked,USA,California,Spearfishing,M,Shark struck him but the diver was not injured,N,5077
917,Apr,2009,Unprovoked,USA,Florida,Wading,M,Lacerations to right foot and ankle,N,5076
918,Mar,2009,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,M,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,5075
919,Mar,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,5074
920,Mar,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Laceration to right foot, puncture wounds to calf",N,5073
921,Mar,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark damaged surfboard",N,5072
922,Mar,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,"No injury, shark bit nose of surfboard",N,5071
923,Mar,2009,Unprovoked,USA,Florida,Surfing,F,Minor bite to ankle,N,5070
924,Mar,2009,Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,F,Minor injury,N,5069
925,Mar,2009,Unprovoked,USA,Hawaii,Swimming,M,"Minor injury, bite chest and left calf",N,5068
926,Mar,2009,Provoked,AUSTRALIA,Western Australia,Wading,M,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,5067
927,Mar,2009,Unprovoked,NEW CALEDONIA,South Province,Surfing,M,FATAL,Y,5066
928,Mar,2009,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,5065
929,Mar,2009,Boat,NEW ZEALAND,North Island,Fishing,M,"No injury to occupants, shark bit propeller",N,5064
930,Mar,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations to leg,N,5063
931,Feb,2009,Unprovoked,AUSTRALIA,Queensland,Fishing,M,Severe laceration to finger,N,5062
932,Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury to surfer, but the nose of his board was broken",N,5061
933,Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to hand ,N,5060
934,Feb,2009,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",M,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,5059
935,Feb,2009,Sea Disaster,USA,Puerto Rico,Air Disaster,M,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,5058
936,Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard dented",N,5057
937,Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, flung from surfboard by the shark",N,5056
938,Jan,2009,Provoked,AZORES,,Fishing,M,Left forearm bitten PROVOKED INCIDENT,N,5055
939,Jan,2009,Invalid,BRAZIL,,,M,Probable drowning with post-mortem bites,Y,5054
940,Jan,2009,Unprovoked,CUBA,Guantanamo Province,Spearfishing,M,Severe lacerations to lower left leg,N,5053
942,Jan,2009,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Hand injured,N,5051
