,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
0,2016.09.18.c,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,N
1,2016.09.18.b,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,N
2,2016.09.18.a,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,N
6,2016.09.11,Sep,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60,N
7,2016.09.07,Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,N
8,2016.09.06,Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,Y
9,2016.09.05.b,Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,N
11,2016.09.04,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,N
12,2016.09.01,Sep,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,N
13,2016.08.29.b,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,N
14,2016.08.29.a,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,N
15,2016.08.27,Aug,2016,Unprovoked,REUNION,Unknown,Boucan Canot,Surfing,M,20,N
16,2016.08.25,Aug,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,N
17,2016.08.07,Aug,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,N
18,2016.08.06,Aug,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,N
19,2016.08.04,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,N
20,2016.07.29,Jul,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,N
21,2016.07.28.R,Jul,2016,Unprovoked,CHINA,Hong Kong,Unknown,Swimming,M,72,N
23,2016.07.27,Jul,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,N
24,2016.07.26,Jul,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,N
25,2016.07.24,Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,N
26,2016.07.23.b,Jul,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,N
28,2016.07.20,Jul,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,N
30,2016.07.16.b,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,N
31,2016.07.16.a,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,F,11,N
34,2016.07.08.R,Jul,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,N
36,2016.07.07.b,Jul,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,N
38,2016.07.06,Jul,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,N
39,2016.07.04,Jul,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,N
40,2016.06.27,Jun,2016,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,35,N
41,2016.06.25,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,N
42,2016.06.24,Jun,2016,Unprovoked,COLUMBIA,Isla Provedencia,Unknown,Scuba Diving,M,59,N
43,2016.06.23,Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,N
44,2016.06.21.b,Jun,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,N
47,2016.06.15.a,Jun,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,N
48,2016.06.14,Jun,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,N
49,2016.06.11,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,N
50,2016.06.07,Jun,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,N
51,2016.06.05.b,Jun,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,N
52,2016.06.05.a,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,Y
53,2016.06.04,Jun,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,N
56,2016.05.31,May,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,Y
57,2016.05.29.b,May,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,N
58,2016.05.29.a,May,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,N
59,2016.05.22,May,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,N
60,2016.05.21.b,May,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,N
61,2016.05.21.a,May,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,N
62,2016.05.18,May,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,N
63,2016.05.15,May,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,N
64,2016.05.03,May,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,N
65,2016.05.02,May,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,N
66,2016.04.25,Apr,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,N
67,2016.04.23,Apr,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N
69,2016.04.19,Apr,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,N
70,2016.04.18,Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,N
71,2016.04.13,Apr,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,N
72,2016.04.09,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,Y
73,2016.04.08,Apr,2016,Invalid,CAPE VERDE,Boa Vista Island,Unknown,Unknown,M,60,N
74,2016.04.07.b,Apr,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,N
76,2016.03.31,Mar,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,N
77,2016.03.30,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,N
79,2016.03.28.a,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,N
80,2016.03.26,Mar,2016,Provoked,BAHAMAS,Unknown,Unknown,Unknown,M,9,N
82,2016.03.11,Mar,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,N
83,2016.03.10,Mar,2016,Unprovoked,Fiji,Vanua Levu,Unknown,Diving for beche-de-mer,M,45,Y
84,2016.03.04,Mar,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,12,N
86,2016.03.02,Mar,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balne�rio Cambori�,Swimming,M,41,N
87,2016.02.22,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,N
88,2016.02.19,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,N
90,2016.02.10.R,Feb,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,M,65,N
92,2016.02.05,Feb,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,N
93,2016.02.04,Feb,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,N
96,2016.01.25,Jan,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,N
99,2016.01.23,Jan,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,N
101,2016.01.05,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,N
102,2016.01.02,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,N
104,2015.12.25,Dec,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,N
105,2015.12.22,Dec,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,N
106,2015.12.21.b,Dec,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,N
107,2015.12.21.a,Dec,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,32,N
108,2015.12.19,Dec,2015,Unprovoked,ARUBA,Unknown,Boat capsized,Sea disaster,M,58,Y
110,2015.12.11,Dec,2015,Unprovoked,BAHAMAS,Unknown,Off Andros Island,Lobster fishing,M,26,N
111,2015.12.08,Dec,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,N
114,2015.11.15.a,Nov,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,N
115,2015.11.10,Nov,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,N
116,2015.12.23,Nov,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,N
117,2015.11.03,Nov,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,N
118,2015.11.01.b,Nov,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,N
119,2015.11.01.a,Nov,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,N
120,2015.10.30,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,N
121,2015.10.28.a,Oct,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,N
122,2015.10.25,Oct,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,N
123,2015.10.21,Oct,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,N
124,2015.10.19,Oct,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,N
125,2015.10.17.c,Oct,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,Y
126,2015.10.17.b,Oct,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,32,N
127,2015.10.17.a,Oct,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,N
129,2015.10.09.b,Oct,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,N
130,2015.10.09.a,Oct,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,N
132,2015.10.07,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,N
133,2015.10.05.b,Oct,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,N
134,2015.10.05.a,Oct,2015,Unprovoked,USA,Texas,Galveston,Wading,M,13,N
135,2015.10.04,Oct,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
136,2015.09.29,Sep,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,N
137,2015.09.26,Sep,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,N
139,2015.09.20.d,Sep,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
140,2015.09.20.c,Sep,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,N
141,2015.09.20.b,Sep,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,N
142,2015.09.20.a,Sep,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,N
144,2015.09.17,Sep,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,N
145,2015.09.08,Sep,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,N
146,2015.09.06,Sep,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,N
147,2015.09.05,Sep,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29,N
148,2015.09.04,Sep,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,62,N
150,2015.09.01,Sep,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,37,N
152,2015.08.29.b,Aug,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,N
153,2015.08.29.a,Aug,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,N
155,2015.08.22.a,Aug,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,N
156,2015.08.20,Aug,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,N
157,2015.08.19,Aug,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,N
158,2015.08.18.b,Aug,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,22,N
159,2015.08.18.a,Aug,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,10,N
160,2015.08.10,Aug,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,N
161,2015.07.31,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,N
162,2015.07.26.b,Jul,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,N
163,2015.07.26.a,Jul,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,N
164,2015.07.25,Jul,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,Y
165,2015.07.23.b,Jul,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,N
166,2015.07.23.a,Jul,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,N
167,2015.07.22,Jul,2015,Unprovoked,REUNION,Unknown,St. Leu,Surfing,M,45,N
168,2015.07.19,Jul,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,N
169,2015.07-10,Jul,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,N
170,2015.07.08,Jul,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,N
172,2015.07.04.b,Jul,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,N
173,2015.07.04.a,Jul,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",Unknown,M,32,N
174,2015.07.03,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,N
175,2015.07.02,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32,N
176,2015.07.01,Jul,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,N
178,2015.06.30.a,Jun,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,N
179,2015.06.27.b,Jun,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18,N
180,2015.06.27.a,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,N
182,2015.06.26.b,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,N
183,2015.06.26.a,Jun,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,N
184,2015.06.25.R,Jun,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,N
185,2015.06.25,Jun,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,N
186,2015.06.24.b,Jun,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,N
187,2015.06.24.a,Jun,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,N
188,2015.06.23,Jun,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,N
189,2015.06.19,Jun,2015,Unprovoked,PUERTO RICO,Unknown,Off Cabo Rojo,Spearfishing,M,36,N
190,2015.06.17,Jun,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,N
191,2015.06.14.b,Jun,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,N
192,2015.06.14.a,Jun,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,N
194,2015.06.11,Jun,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,N
195,2015.06.07,Jun,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,N
196,2015.06.05,Jun,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,N
197,2015.06.01,Jun,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,N
198,2015.05.29.b,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,N
199,2015.05.29.a,May,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,N
200,2015.05.25,May,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19,N
201,2015.05.24,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,N
202,2015.05.20,May,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N
203,2015.05.15,May,2015,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,30,N
204,2015.05.09,May,2015,Unprovoked,NEW CALEDONIA,Unknown,Kouare ,Snorkeling,M,50,Y
207,2015.05.02,May,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,N
208,2015.04.29,Apr,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,Y
209,2015.04.26,Apr,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,N
210,2015.04.25,Apr,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,N
211,2015.04.24.c,Jun,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,N
212,2015.04.13,Apr,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,N
214,2015.04.12,Apr,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,Y
215,2015.03.31,Mar,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,N
216,2015.04.03,Apr,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,N
217,2015.03.29,Mar,2015,Invalid,ITALY,Sardinia,Unknown,Diving,M,43,Y
218,2015.03.26,Mar,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,N
219,2015.03.21,Mar,2015,Unprovoked,EGYPT,Unknown,Marsa Alam,Swimming,M,52,Y
220,2015.03.18,Mar,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,N
221,2015.03.16,Mar,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,N
223,2015.03.10,Mar,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,N
224,2015.03.07,Mar,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18,N
226,2015.02.14,Feb,2015,Unprovoked,REUNION,d��tang-Sal�,Ravine Mula,Swimming,F,22,Y
227,2015.02.09,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,Y
228,2015.02.08,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,N
230,2015.01.30,Jan,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,N
231,2015.01.27,Jan,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,N
236,2015.01.16,Jan,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,N
237,2015.01.08,Jan,2015,Invalid,USA,Florida,Unknown,Swimming after falling overboard,M,38,N
238,2015.01.06,Jan,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,N
239,2015.01.03,Jan,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,N
240,2015.01.01,Jan,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",Unknown,M,12,N
242,2014.12.29.a,Dec,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,Y
245,2014.12.28.b,Dec,2014,Unprovoked,USA,California,"Monta�a de Oro State Park, San Luis Obispo County ",Surfing,M,50,N
246,2014.12.28.a,Dec,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40,N
248,2014.12.15,Dec,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,Y
250,2014.11.29,Nov,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,N
251,2014.11.20,Nov,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Unknown,Fishing,M,39,Y
253,2014.11.16,Nov,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,N
255,2014.11.13,Nov,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,N
257,2014.11.08,Nov,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,N
258,2014.10.31,Oct,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,N
259,2014.10.30,Oct,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,N
264,2014.10.17,Oct,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,N
265,2014.10.14,Oct,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,N
267,2014.10.07,Oct,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,N
269,2014.10.05.b,Oct,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,N
270,2014.10.05.a,Oct,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N
273,2014.10.02.b,Oct,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,N
274,2014.10.02.a,Oct,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,N
276,2014.09.13.R,Sep,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,N
278,2014.09.09,Sep,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,Y
279,2014.09.06,Sep,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,N
280,2014.09.03,Sep,2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20,N
281,2014.09.02,Sep,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,N
283,2014.08.31,Aug,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,N
284,2014.08.29.b,Aug,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,N
286,2014.08.28,Aug,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,N
287,2014.08.27.c,Aug,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30,N
288,2014.08.27.b,Aug,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,N
292,2014.08.16,Aug,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,N
294,2014.08.10,Aug,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",Unknown,M,26,N
296,2014.08.09,Aug,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,N
297,2014.08.08,Aug,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,N
298,2014.08.06,Aug,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,N
299,2014.08.05,Aug,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,N
300,2014.08.02,Aug,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50,N
301,2014.08.02,Aug,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,N
302,2014.08.01,Aug,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,N
305,2014.07.22,Jul,2014,Unprovoked,REUNION,Saint-Leu,Unknown,Surfing,M,51,N
306,2014.07.21,Jul,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,N
308,2014.07.16,Jul,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,N
309,2014.07.14,Jul,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,N
310,2014.07.13,Jul,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63,Y
312,2014.07.09,Jul,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
315,2014.07.03,Jul,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,N
316,2014.06.27.R,Jun,2014,Boat,ST. MARTIN,Unknown,20 miles from shore,Transatlantic Rowing,M,48,N
